url,zip_code,city,type_of_property,subtype_of_property,price,type_of_sale,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_the_land,number_of_facades,swimming_pool,state_of_the_building,region,region_Brussels,region_Flanders,region_Wallonia,property_type_Apartment,property_type_House,property_subtype_apartment,property_subtype_bungalow,property_subtype_chalet,property_subtype_cottage,property_subtype_duplex,property_subtype_ground-floor,property_subtype_loft,property_subtype_mansion,property_subtype_master-house,property_subtype_mixed-building,property_subtype_penthouse,property_subtype_residence,property_subtype_studio,property_subtype_triplex,property_subtype_villa,sale_type_for sale,sale_type_in public sale,price_sqm
https://immovlan.be/en/detail/residence/for-sale/2250/olen/rbv02274,2250,Olen,House,residence,549000,for sale,4,317,1,0,0,1,24,1,204,391,2,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1732
https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbd67292,4030,Grivegnée,House,residence,215000,for sale,3,100,3,0,0,1,24,0,0,92,2,0,3,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2150
https://immovlan.be/en/detail/penthouse/for-sale/1000/brussels/rbv41015,1000,Brussels,Apartment,penthouse,479000,for sale,3,126,1,0,0,1,27,0,0,500,2,0,1,Brussels,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3802
https://immovlan.be/en/detail/apartment/for-sale/1040/etterbeek/vbd85363,1040,Etterbeek,Apartment,apartment,530000,for sale,2,93,1,0,0,1,10,0,0,500,2,0,4,Brussels,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5699
https://immovlan.be/en/detail/chalet/for-sale/5541/hastiere-par-dela/vbd93271,5541,Hastière-par-delà,House,chalet,139000,for sale,2,51,1,0,0,1,27,1,490,234,4,0,4,Wallonia,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2725
https://immovlan.be/en/detail/residence/for-sale/1495/villers-la-ville/vbd17009,1495,Villers-la-Ville,House,residence,345000,for sale,4,161,3,0,1,1,27,1,1345,1345,4,1,0,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2143
https://immovlan.be/en/detail/apartment/for-sale/1200/sint-lambrechts-woluwe/vbd48005,1200,Sint-Lambrechts-Woluwe,Apartment,apartment,450000,for sale,2,110,3,0,0,1,9,0,0,500,2,0,1,Brussels,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4091
https://immovlan.be/en/detail/villa/for-sale/1460/ittre/vbd40736,1460,Ittre,House,villa,1190000,for sale,4,250,2,0,0,1,30,1,490,923,4,1,2,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,4760
https://immovlan.be/en/detail/villa/for-sale/8880/ledegem/rbv35877,8880,Ledegem,House,villa,460000,for sale,4,225,1,0,0,1,50,1,1000,1295,4,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2044
https://immovlan.be/en/detail/residence/for-sale/3440/budingen/rbv40880,3440,Budingen,House,residence,349000,for sale,3,104,1,0,0,0,0,1,204,602,4,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,3356
https://immovlan.be/en/detail/apartment/for-sale/8200/sint-andries/rbv36508,8200,Sint-Andries,Apartment,apartment,412000,for sale,2,97,1,0,0,1,13,1,70,500,2,0,4,Flanders,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4247
https://immovlan.be/en/detail/residence/for-sale/1070/anderlecht/vbc66883,1070,Anderlecht,House,residence,290000,for sale,4,158,1,0,0,0,0,0,0,208,2,0,1,Brussels,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1835
https://immovlan.be/en/detail/residence/for-sale/6997/erezee/vbc84111,6997,Érezée,House,residence,95000,for sale,2,40,1,1,0,1,27,1,490,316,4,0,1,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2375
https://immovlan.be/en/detail/apartment/for-sale/4140/sprimont/vbd95873,4140,Sprimont,Apartment,apartment,739000,for sale,3,257,1,0,0,1,10,0,0,500,3,0,1,Wallonia,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2875
https://immovlan.be/en/detail/penthouse/for-sale/4130/esneux/vbd87695,4130,Esneux,Apartment,penthouse,350000,for sale,2,130,3,0,0,1,10,0,107,500,2,0,1,Wallonia,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2692
https://immovlan.be/en/detail/apartment/for-sale/9700/oudenaarde/rbv29636,9700,Oudenaarde,Apartment,apartment,401500,for sale,2,97,2,0,0,1,13,0,0,500,3,0,4,Flanders,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4139
https://immovlan.be/en/detail/residence/for-sale/2300/turnhout/rbv43217,2300,Turnhout,House,residence,499000,for sale,4,246,1,0,0,1,24,1,204,904,4,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2028
https://immovlan.be/en/detail/apartment/for-sale/2430/laakdal/rbv35655,2430,Laakdal,Apartment,apartment,292000,for sale,3,109,1,0,0,1,24,1,70,500,4,0,4,Flanders,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2679
https://immovlan.be/en/detail/residence/for-sale/4020/bressoux/vbd73059,4020,Bressoux,House,residence,335000,for sale,3,141,1,0,0,1,31,1,490,735,3,0,1,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2376
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbd86249,6700,Arlon,Apartment,apartment,205000,for sale,3,120,1,0,0,1,10,0,0,500,2,0,1,Wallonia,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1708
https://immovlan.be/en/detail/ground-floor/for-sale/1050/elsene/vbd96328,1050,Elsene,Apartment,ground-floor,790000,for sale,2,131,2,0,0,1,22,1,22,500,2,0,4,Brussels,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,6031
https://immovlan.be/en/detail/residence/for-sale/1380/lasne/vbd89376,1380,Lasne,House,residence,780000,for sale,4,169,2,0,1,1,27,1,900,1000,4,1,3,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,4615
https://immovlan.be/en/detail/residence/for-sale/9000/gent/rbu29039,9000,Gent,House,residence,499000,for sale,3,132,1,0,0,1,13,1,204,145,2,0,4,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,3780
https://immovlan.be/en/detail/residence/for-sale/8680/koekelare/rbv37194,8680,Koekelare,House,residence,372000,for sale,3,146,1,0,0,0,0,0,0,350,3,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,2548
https://immovlan.be/en/detail/apartment/in-public-sale/1400/nivelles/vbd55357,1400,Nivelles,Apartment,apartment,140000,in public sale,2,90,1,0,0,0,0,0,0,500,2,0,1,Wallonia,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1556
https://immovlan.be/en/detail/residence/for-sale/6850/paliseul/vbd05635,6850,Paliseul,House,residence,150000,for sale,2,82,1,0,0,1,30,1,490,639,4,0,1,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1829
https://immovlan.be/en/detail/master-house/for-sale/4900/spa/vbd86696,4900,Spa,House,master-house,440000,for sale,6,352,2,0,0,1,27,1,490,425,3,0,2,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1250
https://immovlan.be/en/detail/residence/for-sale/1420/braine-l-alleud/vbd96221,1420,Braine-l,House,residence,490000,for sale,4,120,1,0,0,1,30,1,1350,1528,4,0,1,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,4083
https://immovlan.be/en/detail/ground-floor/for-sale/9620/zottegem/rwc41849,9620,Zottegem,Apartment,ground-floor,170000,for sale,2,80,1,0,0,1,5,0,70,500,2,0,2,Flanders,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2125
https://immovlan.be/en/detail/apartment/for-sale/6001/marcinelle/vwd12509,6001,Marcinelle,Apartment,apartment,169000,for sale,3,120,3,0,0,0,10,1,107,500,3,0,3,Wallonia,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1408
https://immovlan.be/en/detail/residence/for-sale/3140/keerbergen/rbv27682,3140,Keerbergen,House,residence,625000,for sale,3,136,1,0,0,1,24,1,204,1000,4,0,2,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,4596
https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd85297,1160,Oudergem,Apartment,apartment,725000,for sale,2,111,1,0,0,1,29,1,70,500,2,0,4,Brussels,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6532
https://immovlan.be/en/detail/mixed-building/for-sale/6061/montignies-sur-sambre/vbd42338,6061,Montignies-sur-Sambre,House,mixed-building,379000,for sale,6,165,1,0,0,0,27,0,490,639,2,0,1,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2297
https://immovlan.be/en/detail/residence/for-sale/3920/lommel/rbv30951,3920,Lommel,House,residence,369000,for sale,6,315,1,0,0,1,24,1,204,297,3,0,1,Flanders,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1171
https://immovlan.be/en/detail/residence/for-sale/4100/seraing/vbd95090,4100,Seraing,House,residence,219000,for sale,2,190,1,0,0,1,27,1,490,340,4,0,1,Wallonia,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1153
